,Sample ID,Water depth,Transparency,Water temperature (WT),pH,DO,Chla,Turbidity,EC,ORP,TC,TOC,TN,NH4-N,NO3-N,NO2-N,TP,PO4-P
1,FJ2015024,10.5,95,20.4,8.21,9.56,15.8,8.5,39.5,404,4.758,1.815,1.58012,0.04749,1.13331,0.02492,0.06324,0.00812
2,FJ2015031,10.9,87,21.67,8.21,9.19,7.48,11.7,40,427,4.631,1.406,1.21051,0.02004,0.95654,0.01654,0.05149,0.00416
3,FJ2015041,10.9,61,26.75,8.13,9.07,9.44,16.1,38.5,403,5.917,2.294,1.15917,0.05846,0.71511,0.01486,0.05541,0.00416
4,FJ2015042,11.7,66,25.92,8.62,10.76,13.89,9.4,45.9,406,6.161,2.901,1.64685,0.03925,1.08373,0.01486,0.0652,0.00515
5,FJ2015043,17.2,39,23.93,7.35,5.88,3.98,45.2,36.3,469,8.398,5.944,1.71359,0.09963,1.08373,0.08189,0.11612,0.01603
6,FJ2015044,20.3,104,27.96,7.43,9.84,5.5,9.8,33.5,393,11.22,5.348,1.75979,0.05297,1.31224,0.00928,0.04757,0.00119
7,FJ2015045,21,159,29.33,7.94,9.04,4.5,5.3,28.1,393,10.72,4.9885,1.61092,0.06395,1.25619,0.01053,0.03386,2.00E-04
8,FJ2015046,21,168,30.58,7.76,8.91,4.65,4.3,32.3,410,11.495,4.335,1.38504,0.07493,1.07511,0.01053,0.02994,0.00317
9,FJ2015047,22,182,31.34,7.93,8.84,3.77,4.7,31.9,325,5.871,2.211,1.30291,0.07218,1.01044,0.01151,0.03386,0.00416
10,FJ2015048,22,243,30.73,7.68,8.64,2.57,4.1,31.2,373,6.4825,2.5365,1.22591,0.06395,0.94145,0.00816,0.02994,0.00416
11,FJ2015051,31.7,97,28.44,8.88,9.04,4.21,10.8,24.7,316,4.882,1.743,1.44665,0.03102,1.03846,0.00509,0.03974,0.00218
12,FJ2015061,31.5,173,30.23,7.5,8.91,3.04,5.6,24.4,404,5.192,2.309,1.33884,0.07493,0.91128,0.00606,0.03386,0.00317
13,FJ2015069,32.5,175,28.93,7.64,8.46,4.88,5.6,21,418,4.941,1.932,1.0257,0.09688,0.8811,0.00662,0.02799,0.00218
14,FJ2015070,32.5,178,30.16,7.82,9.55,5.76,5.2,22.4,358,5.2645,2.2555,0.90763,0.07767,0.76684,0.00821,0.02603,0.00713
15,FJ2015071,32.5,162,28.37,8.14,8.8,14.42,4.7,18.8,361,5.998,3.138,1.0411,0.08316,0.75391,0.0055,0.02603,0.00317
16,FJ2015073,31.5,128,29.18,8.27,10.23,15.68,5,21,350,7.6235,4.457,0.98463,0.00632,0.57499,0.00942,0.02211,0.00119
17,FJ2015074,31.7,128,27.89,8.34,9.4,26.6,4.7,19.5,371,7.2955,3.7505,0.88196,0.00358,0.51031,0.00886,0.02603,0.00119
18,FJ2015075,27.9,209,28.19,8.45,8.99,4.71,4.5,19.1,338,5.785,1.5355,0.91276,0.02004,0.74529,0.00914,0.02994,0.00317
19,FJ2015090,33.5,205,26.98,7.33,7.48,4.46,4.6,17.5,479,5.4315,1.2455,0.98976,0.03925,0.74744,0.00718,0.02407,0.00515
20,FJ2015094,33,279,25.1,8.42,7.12,2.56,3.6,17.2,412,4.831,0.6959,1.04623,0.00358,0.76684,0.00369,0.01232,0.00218
21,FJ2015095,33.1,279,24.77,7.33,7.48,2.91,4.4,17,476,4.4175,1.0014,1.06163,0.02828,0.82289,0.00257,0.02211,0.00218
22,FJ2015096,33.1,258,24.55,7.45,8.03,3.64,4.1,17.3,448,5.9635,2.4235,1.05137,0.01455,1.02337,0.00341,0.01428,2.00E-04
23,FJ2015097,32.8,248,24.85,8.09,9.2,4.14,2.9,17.9,406,4.528,1.332,1.03083,0.0173,0.72157,0.00313,0.02015,2.00E-04
24,FJ2015098,32.3,178,23.12,7.28,6.18,2.57,5.2,18.7,506,5.046,0.9579,0.93843,0.05297,0.77762,0.00243,0.02015,0.00317
25,FJ2015099,32.6,258,21.29,7.32,7.11,2.53,5.7,18.2,520,7.5585,2.7335,1.12324,0.01455,0.82289,0.00523,0.02994,0.00713
26,FJ20150100,32.6,248,19.92,7.63,8.2,3.81,4.5,17.4,483,8.188,3.228,1.18997,0.00907,0.91559,0.00732,0.02407,0.00713
27,FJ2016001,32.5,213,19.29,7.48,8.07,2.83,5.8,17.6,492,6.926,3.605,1.15917,8.33E-04,0.9005,0.00104,0.02407,0.00515
28,FJ2016016,31.9,242,19.09,7.43,9.6,4.39,4.8,16.6,506,4.422,1.626,1.07703,0.03376,0.86385,0.00215,0.02407,0.00218
29,FJ2016017,30.5,178,18.19,7.21,8.57,3.81,6.8,17.2,463,4.331,1.269,1.13864,0.03651,0.85307,0.00816,0.0319,0.00614
30,FJ2016018,31.5,136,16.4,7.22,9.27,1.07,10.6,16,457,5.424,0.7898,1.0411,0.02828,0.86385,0.00802,0.04365,0.00416
31,FJ2016019,32.5,161,15.7,7.38,10.52,5.14,7.3,13.2,533,6.196,1.314,0.9487,0.02279,0.75606,0.00383,0.03386,0.00317
32,FJ2016020,31.5,181,15.77,7.03,9.74,1.52,6.7,17.5,479,5.578,0.6669,1.0873,0.03925,1.01259,0.00159,0.03386,0.00515
33,FJ2016021,31.3,188,16.07,7.41,9.78,5.03,5.1,18,452,4.66,0.9143,0.92816,0.06395,0.83798,0.00355,0.02994,0.00416
34,FJ2016022,32.4,182,16.4,7.26,10.17,5.21,4.8,16.3,505,5.917,1.271,0.95896,0.00632,0.78193,0.00271,0.02211,0.00119
35,FJ2016023,31.7,142,17.36,7.9,11.59,4.1,7.4,16.9,413,6.01,1.533,1.01543,0.03376,0.78193,0.00648,0.0319,0.00119
36,FJ2016026,30.3,184,22.86,8.42,11.23,6.13,5.1,22.6,351,5.895,1.85,1.0411,0.02279,0.73451,0.00676,0.04365,0.00317
37,FJ2016039,30.5,146,21.05,8.18,9.67,3.42,5.2,19.8,418,5.065,1.118,1.09654,0.12432,0.74097,0.00732,0.0319,2.00E-04
38,FJ2016040,31.6,117,24.43,9.23,11.46,15.06,31.2,22.6,419,6.567,2.711,0.95896,0.11884,0.64181,0.01137,0.03778,0.00515
39,FJ2016041,31.8,107,27.04,9.58,10.19,7.6,6.6,23.9,437,6.08,2.593,1.00003,0.03102,0.55774,0.01039,0.02015,0.00515
40,FJ2016042,30.6,145,25.45,8.85,9.12,4.03,6,23.3,454,6.735,2.211,0.84603,0.0173,0.48445,0.01207,0.02603,0.00515
41,FJ2016043,30,184,27.49,9,8.32,4.3,2.4,22.7,359,7.863,3.842,0.72796,0.042,0.48014,0.01486,0.02799,0.00515
42,FJ2016045,31,200,28.2,8.71,9.09,7.06,1.4,44.2,337,4.888,2.106,0.78956,0.00358,0.5254,0.00704,0.01428,0.00515
43,FJ2016046,31.9,206,29,8.85,9.27,3.84,3.4,44,292,4.92,2.153,0.65609,0.00358,0.51247,0.00606,0.01819,0.00218
44,FJ2016047,31.8,191,30.86,8.71,9.03,5.65,2.1,42,295,4.938,2.091,0.9333,0.02553,0.89187,3.38E-04,0.02799,0.00218
45,FJ2016056,30.3,162,28.95,8.47,8.64,7.59,4,42.4,268,4.67,1.554,0.79983,0.02553,0.50816,0.00313,0.02799,0.00218
46,FJ2016060,30.9,254,30.01,8.83,8.48,3.79,0,19.8,397,4.018,1.633,0.78956,0.10786,0.50816,0.00313,0.01623,2.00E-04
47,FJ2016064,29.7,241,31.37,9.34,9.16,2.84,0.3,20.7,258,4.3,1.456,0.75876,0.00907,0.54265,0.00732,0.02015,2.00E-04
48,FJ2016065,31.2,251,31.67,8.52,8.56,2.3,0,21,379,3.998,1.471,0.70742,0.00358,0.46505,0.00928,0.02407,0.00812
49,FJ2016066,31.6,198,29.74,7.78,8.4,7.16,0,17.3,308,3.338,1.126,0.77929,0.042,0.50385,0.00732,0.02407,0.00812
50,FJ2016068,32.1,253,31.27,8.72,9.14,4.09,1.6,18.8,371,3.29,0.8957,0.75876,0.02553,0.50816,0.00592,0.02799,0.00218
51,FJ2016069,30.1,190,29.56,8.97,8.81,5.27,1.7,18.4,155,3.744,1.338,0.91276,0.02004,0.53834,0.00816,0.02799,0.00218
52,FJ2016070,31.2,329,29.33,8.19,8.09,2.27,1.4,18.6,193,2.832,1.052,0.9641,0.05846,0.68062,0.00341,0.02015,0.00218
53,FJ2016071,31.4,150,28.28,8.24,8.74,2.36,8,16.3,319,2.974,0.7645,0.81009,0.05297,0.73235,0.00453,0.02015,2.00E-04
54,FJ2016080,32.1,182,27.77,7.1,8.52,2.89,3.6,9.9,321,3.319,1.062,0.87169,0.00358,0.7108,0.00425,0.02015,0.00218
55,FJ2016084,32.4,90,25.45,7,8.62,3.97,5.3,10.1,464,3.176,0.9945,1.10276,0.05297,0.78409,0.00257,0.03582,0.00614
56,FJ2016088,32.4,192,26.11,6.63,8.78,3.75,3.8,9.2,395,2.967,0.9986,0.91276,0.00907,0.81427,0.00369,0.05932,0.00218
57,FJ2016089,32.5,224,24.82,7.05,8.14,3.29,1.9,15.2,337,4.211,1.029,0.85116,0.03102,0.76684,0.00369,0.0319,0.00416
58,FJ2016090,32.5,205,23.71,6.66,7.71,2.71,0,16.9,634,4.653,1.716,1.0257,0.01455,0.80996,0.00313,0.01623,0.00218
59,FJ2016091,33,210,23.19,7.55,7.67,3.02,6.4,42.3,373,3.13,0.6706,0.97436,0.03102,0.79702,0.00229,0.02799,0.00218
60,FJ2016093,33.2,210,21.6,6.99,8.6,5.32,0,16.5,383,4.37,1.42,1.1181,0.03102,0.79271,0.00201,0.01232,0.00812
61,FJ2016095,32,211,20.79,6.61,7.71,3.11,0,19,405,5.514,1.244,1.29264,0.35484,0.61163,0.01039,0.02799,0.00218
62,FJ2017001,32.6,228,20.85,7.02,9.2,7.8,1.6,16,421,3.898,1.049,1.00517,0.02004,0.73666,0.00453,0.01623,0.00218
63,FJ2017008,33.4,231,19.27,7.06,9.33,4.46,0.1,15,324,3.47,0.8279,0.9949,0.00907,0.77978,0.00453,0.02015,0.00218
64,FJ2017017,32.3,319,19.22,6.82,8.86,4.41,0.2,14.8,330,3.695,0.9465,0.9025,0.11884,0.78409,0.00257,0.02015,0.00218
65,FJ2017018,32.6,240,18.31,8.56,8.43,3.66,1.4,13.9,339,3.897,1.362,1.01543,0.00907,0.78409,6.17E-04,0.02407,0.00416
66,FJ2017019,32.2,266,16.885,7.03,9.17,1.76,0,14.9,399,4.058,0.4244,0.9641,0.03102,0.74529,0.00537,0.02799,0.00218
67,FJ2017020,31.4,222,17.97,7.27,9.95,5.18,0,15.3,384,6.232,3.65,0.9641,0.05846,0.71942,0.00564,0.02799,0.00416
68,FJ2017022,28.3,234,16.85,7.29,8.96,1.77,0,14.5,380,5.499,2.869,0.98463,0.08042,0.71511,0.0157,0.02407,0.00218
69,FJ2017023,30.2,276,18.01,7.24,9.8,6.14,0,14.8,357,3.725,1.982,1.13864,0.02004,0.72804,0.01514,0.02015,0.00416
70,FJ2017024,30.2,244,17.67,7.36,9.87,5.46,0,14.3,390,4.446,1.99,1.10784,0.09688,0.7108,0.01011,0.02799,0.00614
71,FJ2017040,29.4,240,19.27,7.74,10.24,2.56,0,16,453,4.71,2.288,1.09757,0.07493,0.73666,0.00955,0.02407,0.00416
72,FJ2017041,28.6,210,23.31,8.04,9.29,4.64,2.4,19.9,405,5.117,2.309,1.16944,0.042,0.65906,0.00537,0.02799,0.00416
73,FJ2017042,28,221,24.82,8.01,9.2,2.94,1.9,20.2,348,4.973,2.286,0.98463,0.0859,0.71856,0.00816,0.02015,2.00E-04
74,FJ2017043,29.2,182,23.58,8.03,9.11,3.92,2.1,20.7,410,4.573,1.737,1.1181,0.02553,0.82203,0.01095,0.03582,0.00218
75,FJ2017044,28.4,194,27.17,9.19,9.94,4.88,0.4,24.3,365,7.255,4.324,1.09757,0.02553,0.72287,0.01123,0.02407,0.00218
76,FJ2017045,28.6,195,26.95,9.29,10.06,6.13,0,25.2,352,5.795,3.165,0.9949,0.02004,0.67544,0.01039,0.02407,2.00E-04
77,FJ2017048,27.4,192,28.46,9.18,9.05,5.7,0.1,26,385,7.351,3.727,1.10784,0.00632,0.66121,0.01165,0.02211,0.01208
78,FJ2017049,27.1,182,29.85,8.6,8.58,3.79,0,25.2,415,4.377,2.179,0.9487,0.02553,0.6181,0.01053,0.02015,0.00416
79,FJ2017050,30.9,240,26.77,7.2,7.88,4.29,0.1,22.3,442,5.283,2.475,1.1335,0.01455,0.69571,0.00439,0.02407,0.0101
80,FJ2017062,31.1,252,30.06,8.44,8.94,4.36,0.6,23.2,421,5.284,2.458,0.98463,0.02553,0.67113,0.00564,0.02015,2.00E-04
81,FJ2017066,31.6,222,30.36,8.4,8.83,3.45,0.8,22.4,374,5.41,2.646,1.05137,0.00907,0.6181,0.0055,0.01819,0.00416
82,FJ2017067,31.1,261,31,8.23,8.81,3.4,9.8,23.5,435,5.633,2.974,0.71769,0.03651,0.5849,0.00564,0.0131,2.00E-04
83,FJ2017068,31.8,234,30.16,7.14,7.43,4.47,14.3,21,426,5.621,2.741,0.74849,0.03102,0.53748,0.00564,0.02015,0.00416
84,FJ2017069,31.8,250,32.12,8.5,9.06,6.18,15.9,22.8,429,7.375,4.477,0.75876,0.03651,0.46418,0.00648,0.02799,0.00218
85,FJ2017071,31.7,242,31.32,8.3,7.78,4.1,18.5,21.1,418,5.682,2.658,0.79983,0.03651,0.45944,0.00788,0.02407,0.00218
86,FJ2017072,31.7,284,31.79,8.06,8.13,12.85,5.9,28,457,5.612,2.514,0.71769,0.12981,0.45125,0.00844,0.02407,0.00218
87,FJ2017073,29.8,250,30.84,8.08,8.32,17.56,8.7,26,532,5.458,2.84,0.75876,0.10237,0.45987,0.00928,0.02015,0.00812
88,FJ2017074,28.8,259,30.66,8.19,8.5,16.81,10.9,27,463,5.281,2.277,0.66635,0.11884,0.40813,0.00816,0.02015,2.00E-04
89,FJ2017075,27.8,216,31.33,8.6,9.02,23.67,19.1,29,497,5.374,2.409,0.58422,0.00358,0.34303,0.00704,0.02407,0.00812
90,FJ2017090,27.2,203,29.43,6.66,6.94,24.95,20.4,28,530,5.563,2.365,0.64582,0.00358,0.44219,0.00425,0.02407,0.00416
91,FJ2017091,26.3,240,27.59,6.98,7.28,8.63,18.5,28,485,5.868,2.222,0.55342,0.00358,0.42926,0.00509,0.02799,0.00416
92,FJ2017092,25.8,238,24.5,7.45,7.46,7.95,1.97,28,502,5.52,1.866,0.83063,0.09688,0.43357,6.17E-04,0.02799,0.00416
93,FJ2017093,25.4,265,23.63,7.35,7.95,10.66,1.53,24.1,162,5.366,1.593,0.63555,0.042,0.41633,5.86E-05,0.02407,0.00416
94,FJ2017094,25.2,222,22.44,7.56,7.29,9.45,2.07,25,440,5.434,1.581,0.72796,0.21763,0.42064,6.17E-04,0.02799,0.00218
95,FJ2017095,24.8,190,21.07,7.63,7.36,13.49,1.97,25,330,6.09,2.202,0.76902,0.05846,0.49824,0.03357,0.02407,0.00218
96,FJ2017096,24.1,190,20.02,7.24,7.23,8.09,2,25.4,444,5.316,1.61,0.73822,0.05297,0.57154,6.17E-04,0.02407,2.00E-04
97,FJ2017097,23.7,192,18.32375,7.18813,8.6625,10.33813,1.96,25.1,412.4375,4.345,1.291,0.83063,0.08042,0.60301,0.00146,0.03778,0.00218
98,FJ2017098,22.7,160,17.28,7.21,9.35,16.97,3.13,24,429,4.831,1.451,0.89223,0.06944,0.60301,0.00397,0.03778,0.00416
99,FJ2018001,22.6,190,16.82,7.22,9.44,13.39,2.1,24,372,5.361,1.562,0.97436,0.08042,0.62888,0.00676,0.0417,0.00416
100,FJ2018002,22.6,170,16.24,7.61,10.05,17.27,2.1,25,376,4.807,1.554,0.98463,0.06944,0.71511,0.01095,0.03778,0.00614
101,FJ2018017,21.7,228,16.4,7.37,9.27,16.64,2.1,25,403,4.97,1.255,0.94356,0.04749,0.72804,0.01458,0.03386,0.00614
102,FJ2018018,21.4,190,14.33,7.68,9.73,5.31,5.3,26,262,5.024,1.31,1.13864,0.04749,0.74529,0.0143,0.03582,0.00416
103,FJ2018019,20.1,150,16.43,8.11,10.04,9.81,4.8,30,446,5.322,1.547,1.0257,0.02553,0.67199,0.01123,0.03582,0.00614
104,FJ2018021,19.6,150,18.07,7.78,9.82,10.67,6.3,31,446,4.934,1.273,1.36451,0.09139,0.83151,0.01207,0.03582,0.00812
105,FJ2018022,19.2,142,19.39,8.86,11.03,22.78,6,32,411,6.421,3.074,1.39531,0.09139,0.90481,0.01374,0.04365,0.0101
106,FJ2018023,19.6,130,20.96,8.83,10.13,10.9,2.6,33,449,6.176,2.86,1.53905,0.10786,0.97379,0.02129,0.03974,0.0101
107,FJ2018024,18.3,168,21.45,7.4,9.1,10.32,5.8,29,427,6.378,2.889,1.55958,0.07493,0.9393,0.01849,0.04365,0.01208
108,FJ2018036,16.9,130,21.64,7.3,8.82,8.24,6.4,26,429,6.364,2.704,1.54932,0.042,1.00397,0.01598,0.04757,0.00614
109,FJ2018040,15.8,95,23.99,7.86,7.9,15.18,6.8,31.5,478,6.581,2.669,1.31318,0.06944,1.03415,0.01263,0.04757,0.0101
110,FJ2018041,14.5,60,24.16,7.65,8.21,22.69,15.8,33,522,6.615,2.72,1.31318,0.07493,1.06002,0.01095,0.06324,0.00812
111,FJ2018042,12.1,105,28.47,8.17,7.5,19.67,4.6,36,394,9.649,5.068,1.12837,0.0333,0.81858,0.01235,0.03974,0.00812
112,FJ2018043,10.9,60,28.97,8.37,7.41,25.02,17.3,35.5,374,7.566,3.723,1.12837,0.08335,0.75822,0.01235,0.02799,0.00812
113,FJ2018045,12.7,132,27.64,8.19,8.66,10.65,4.7,30.1,331,6.55,3.447,1.1489,0.07918,0.77978,0.01179,0.02799,0.00812
114,FJ2018046,14.2,135,26.67,8.21,9.25,17.52,3.8,27,403,9.111,4.767,0.88196,0.07084,0.58576,0.00955,0.03582,0.01405
115,FJ2018047,21.1,60,29.35,8.81,8.78,15.54,7.6,26.5,361,7.836,4.521,1.01543,0.01661,0.62026,0.01682,0.03974,0.01405
116,FJ2018062,20.8,140,30.89,9.07,9.33,7.84,3.2,25,245,6.006,2.961,1.0565,0.02496,0.65044,0.01486,0.03582,0.00614
117,FJ2018063,20.9,140,30.36,8.69,8.18,11.87,3.6,30,313,6.747,3.237,0.94356,0.0333,0.76253,0.00955,0.03582,0.00812
118,FJ2018064,20.1,170,31.8,8.88,8.31,4.9,5.1,31.1,280,5.195,2.237,1.04623,0.14591,0.70648,0.01347,0.02799,0.01405
119,FJ2018065,17.8,147,31.75,8.41,8.46,6.85,2.1,26,408,5.651,2.726,1.12837,0.03747,0.73235,0.00816,0.02407,0.00416
120,FJ2018066,16.2,145,31.35,7.8,7.58,13.25,3.9,32,466,6.444,3.123,0.98463,0.07501,0.71511,0.00788,0.02015,0.00416
121,FJ2018067,17.2,130,29.92,7.72,7.65,16.5,7,31,441,7.722,4.298,1.086,0.09688,0.81858,0.01011,0.0319,0.0101
122,FJ2018068,25.9,148,29.55,8.98,9.7,8.38,4.9,24,384,5.91,3.073,1.125,0.14628,0.80133,0.00313,0.02799,0.00416
123,FJ2018070,28.7,132,29.1,9.01,9.39,9.28,4.4,20,261,6.735,3.942,1.36451,0.02913,0.89619,0.00676,0.03582,0.00416
124,FJ2018071,29.3,171,28.24,7.14,8.5,10.78,5,18,471,6.343,3.47,1.27211,0.01661,1.06864,0.00844,0.03582,0.00812
125,FJ2018072,29.2,180,26.53,7.22,8.26,5.74,14.3,18,445,7.005,3.784,1.21051,0.01244,1.06864,0.00788,0.02799,0.00614
126,FJ2018073,29.5,165,25.41,7.09,7.6,14.4,4.7,19,464,6.631,3.251,1.26184,0.05832,1.04277,0.00676,0.0319,0.0101
127,FJ2018088,29.5,140,24.73,7.43,8.38,12.19,3.3,19,410,6.637,3.05,1.15917,0.01244,1.02984,0.00509,0.02799,0.00416
128,FJ2018089,29.1,198,23.04,6.82,7.48,15.35,2.7,21,519,7.01,3.217,1.21051,0.05415,0.97379,0.00481,0.02407,0.00614
129,FJ2018090,28.8,330,23.53,6.97,8.79,13.17,3.2,32,525,6.403,2.823,1.21051,0.02078,1.0169,0.0062,0.02407,0.00614
130,FJ2018091,28.6,275,22.55,6.88,7.83,7.11,2.1,32,459,6.231,3.015,1.32344,0.08752,1.08589,0.00118,0.02015,0.00416
131,FJ2018092,28.2,232,21.87,7.72,7.84,6.35059,2.1,33,503,5.932,2.335,1.10784,0.0333,1.06002,0.00704,0.02015,0.00218
132,FJ2018094,27.9,198,20.57,6.35,7.45,5.04,3.4,34,545,5.456,2.274,1.38504,0.13757,1.06864,0.00257,0.02407,0.00218
133,FJ2018095,27.2,195,19.69,7.02,8.52,8.28,3,34,544,5.48,1.969,1.33371,0.06249,1.07295,0.00872,0.02407,0.00416
134,FJ2019003,26.2,168,18.14,7.2,8.61,4.33,1.9,34,513,5.351,1.815,1.44665,0.1334,1.09882,0.01458,0.02799,0.00416
135,FJ2019010,25.4,200,18.54,6.42,9.54,10.65,0.7,34,538,5.961,2.283,1.16944,0.06249,1.0902,0.01235,0.02799,0.00614
136,FJ2019017,24.6,141,17.64,7.05,8.83,1.38,2.6,34,477,4.097,1.809,1.26184,0.02596,1.0514,0.00425,0.02015,0.00218
137,FJ2019018,22.5,230,18.09,7.57,9.48,8.88,1.8,35,547,4.967,2.874,1.15917,0.05655,0.99966,0.00341,0.02799,0.00416
138,FJ2019019,22,200,18.03,7.65,9.59,12.84,1.9,35,468,4.297,1.979,1.25157,0.10026,0.9781,0.00369,0.02407,0.00416
139,FJ2019020,21.5,180,17.92,7.3,10.01,31.78,1.6,35,511,4.047,1.899,1.21051,0.12212,0.99104,0.00397,0.02799,0.00614
140,FJ2019021,23.1,162,17.17,6.67,8.21,4.72,1.9,36,577,3.473,1.383,1.31318,0.09152,1.09451,0.00453,0.02015,0.00614
141,FJ2019022,23.9,221,19.22,8.12,10.55,6.4,0,36,422,4.388,1.931,1.29264,0.00847,1.02984,0.00564,0.0319,0.00416
142,FJ2019023,24.7,138,20.82,7.69,10.8,14.04,1.1,36,464,4.838,2.888,1.29264,0.04344,1.06433,0.01039,0.0319,0.00416
143,FJ2019024,25.1,120,22.47,8.62,11.11,24.27,1.8,37,432,4.929,2.843,1.251,0.05218,0.94361,0.01067,0.03974,0.00614
144,FJ2019039,25.4,170,21.95,8.4,10.32,9.95,0.9,38,461,4.969,2.537,1.40558,0.03907,0.96948,0.01123,0.03582,0.00614
145,FJ2019040,24.6,189,26.15,8.52,10.12,9.07,0.2,39,447,5.269,2.754,1.29264,0.10026,0.88325,0.01263,0.03974,0.00416
146,FJ2019041,24.8,156,22.79,7.93,8.71,10.61,2.3,38,485,5.471,2.953,1.33371,0.04344,0.91343,0.02547,0.04757,0.00416
147,FJ2019042,26,108,28.17,8.34,10.95,63.07,3.4,40,464,5.915,3.275,1.375,0.029,0.666,0.017,0.063,0.008
148,FJ2019043,28,120,25.01,8.12,10.29,3.07,20.1,33,348,4.966,2.24,1.231,0.037,0.857,0.015,0.048,0.004
149,FJ2019044,30.2,158,28.76,8.78,10.35,22.62,6.8,37,471,5.184,2.664,1.087,0.029,0.725,0.013,0.04,0.006
150,FJ2019045,32.1,231,29.92,8.25,9.16,4.02,1.6,35,416,5.106,2.4,1.323,0.029,0.776,0.011,0.032,0.002
151,FJ2019046,32.4,261,31.21,8.5,9.02,4.6,0.2,34,492,5.079,2.194,1.139,0.071,0.706,0.008,0.024,0.002
152,FJ2019049,32.3,212,29.88,8.17,8.69,7.04,2.1,34,452,5.078,2.207,1.026,0.067,0.662,0.007,0.028,0.004
153,FJ2019062,31.3,189,31.12,8.08,8.67,11.79,2.6,35,459,5.39,2.459,0.9516,0.046,0.607,0.006,0.024,0.004
154,FJ2019063,31.2,185,31.5,8.59,8.03,6.22,2.9,33.8,475,5.482,2.526,0.9936,0.092,0.541,0.006,0.024,0.004
155,FJ2019064,31.8,228,31.66,8.76,8.91,7.8,3.2,33,474,5.603,2.567,0.9372,0.067,0.522,0.006,0.024,0.002
156,FJ2019065,32.6,235,30.95,9.62,8.23,14.6,0,34,464,5.569,2.373,0.9805,0.108,0.541,0.007,0.055,0.002
157,FJ2019066,31.8,209,29.85,7.51,7.11,9.05,4.2,35,427,7.122,3.595,0.9484,0.00827,0.56276,0.00648,0.01918,2.00E-04
158,FJ2019067,31.4,190,30.56,8.14,8.11,6.25,2,35,368,5.044,2.663,0.7631,0.05832,0.50435,0.00648,0.01918,2.00E-04
159,FJ2019068,32.1,232,30.8,7.99,8.06,9.15,1.9,35,506,5.357,2.623,0.6977,0.04998,0.46419,0.00509,0.01505,0.00218
160,FJ2019069,31.5,285,28.34,7.12,7.62,5.47,1.4,35,552,7.521,3.783,0.7086,0.08752,0.58101,0.00369,0.01505,0.00218
161,FJ2019070,31,282,28.59,7.89,8.62,10.91,4.5,36,170,7.787,4.118,1.1773,0.03747,0.43498,0.00313,0.01918,0.00218
162,FJ2019082,30.2,230,27.17,7.43,7.96,12.24,2.3,36,179,5.113,2.165,0.85116,0.04581,0.47879,0.00201,0.02015,2.00E-04
163,FJ2019086,29.1,224,25.62,7.18,6.32,5.7,1,33,241,6.803,2.666,0.77929,0.0041,0.53403,0.00229,0.02799,0.00218
164,FJ2019087,28.5,239,24.19,8.11,6.95,4.4,0.2,34,478,4.778,1.617,0.87169,0.05218,0.61163,0.00397,0.02015,0.00218
165,FJ2019088,27.7,240,22.94,7.3,7.8,2.75,1.3,35,392,4.895,1.679,0.77929,0.06967,0.6375,0.00453,0.02015,2.00E-04
166,FJ2019089,27.1,221,22.15,7.9,8.19,6.53,5,35,321,5.086,1.845,0.98463,0.07841,0.64181,0.00481,0.02407,0.00218
167,FJ2019090,25.2,160,19.83,8.82,7.7,5.01,0.6,37,522,7.959,3.291,0.9333,0.04781,0.64612,0.01765,0.02407,0.00218
168,FJ2019091,24.8,197,18.63,7.88,8.37,3.04,1.6,36,538,7.165,2.765,0.94356,0.03907,0.75391,0.01235,0.02407,0.00416
169,FJ2019092,23.8,193,19.26,8.43,9.71,2.7,1.5,36,519,7.422,3.273,0.92303,0.06967,0.84876,0.00146,0.02799,0.00416
170,FJ2020009,21.8,150,18.78,8.11,9.09,6.7,1.8,37,387,7.438,3.006,0.94356,0.06092,0.76684,0.00201,0.02407,0.00218
171,FJ2020016,20.5,135,17.98,8.27,8.2,5.41,2.1,37,430,7.409,2.793,1.0589,0.05218,0.75822,0.00118,0.02743,0.00416
