ID,Phylum,Species
K001,Cyanobacteria,Aphanocapsa spp.
K002,Cyanobacteria,Aphanothece spp.
K003,Cyanobacteria,Chroococcus spp.
K178,Cyanobacteria,Cyanodictyon planctonicum
K005,Cyanobacteria,Eucapsis alpi0
K215,Cyanobacteria,Eucapsis starmachii
K216,Cyanobacteria,Gloeocapsa spp.
K006,Cyanobacteria,Gloeothece spp.
K009,Cyanobacteria,Merismopedia spp.
K010,Cyanobacteria,Microcystis aeruginosa
K181,Cyanobacteria,Pannus spumosus
K182,Cyanobacteria,Radiocystis elongata
K004,Cyanobacteria,Rhabdogloea spp.
K011,Cyanobacteria,Rhabdoderma spp.
K007,Cyanobacteria,Snowella spp.
K012,Cyanobacteria,Synechococcus-Synechocystis complex
K013,Cyanobacteria,Coelosphaerium-Woronichinia complex
K183,Cyanobacteria,A0gnostidinema sp.
K223,Cyanobacteria,An0mia toxica
K031,Cyanobacteria,Arthrospira spp.
K184,Cyanobacteria,Glaucospira spp.
K188,Cyanobacteria,Komvophoron groenlandicum°˚Cyanobium sp.
K032,Cyanobacteria,Planktolyngbya contorta
K033,Cyanobacteria,Planktolyngbya limnetica
K185,Cyanobacteria,Planktolyngbya microspira
K186,Cyanobacteria,Planktolyngbya limnetica£®« üo°£Ègœ∂üo°£Pseuda0bae0§Ë§Íºö§§Planktothrix°££©
K034,Cyanobacteria,Planktothrix agardhii
K035,Cyanobacteria,Planktothrix mougeotii
K036,Cyanobacteria,Planktothrix spp.
K187,Cyanobacteria,Pseuda0bae0 acicularis
K037,Cyanobacteria,Pseuda0bae0 limnetica
K038,Cyanobacteria,Pseuda0bae0 mucicola
K039,Cyanobacteria,Romeria spp.
K023,Cyanobacteria,A0baenopsis circularis
K024,Cyanobacteria,A0baenopsis spp.
K017,Cyanobacteria,Aphanizomenon gracile
K026,Cyanobacteria,Cuspidothrix issatschenkoi
K027,Cyanobacteria,Cylindrospermopsis curvispora
K028,Cyanobacteria,Cylindrospermopsis raciborskii
K029,Cyanobacteria,Raphidiopsis curvata
K014,Cyanobacteria,Dolichospermum affine
K019,Cyanobacteria,Dolichospermum smithii
K191,Cyanobacteria,Dolichospermum crassum
K016,Cyanobacteria,Dolichospermum flos-aquae
K021,Cyanobacteria,Dolichospermum  cf.tenericaulis
K018,Cyanobacteria,Dolichospermum pseudocompacta
K022,Cyanobacteria,Dolichospermum  spp.
K015,Cyanobacteria,Sphaerospermopsis reniformis
K225,Chrysophyta,Bicosoeca spp.
K040,Chrysophyta,Chromuli0 spp.
K041,Chrysophyta,Dinobryon spp.
K221,Chrysophyta,Epipyxis spp.
K042,Chrysophyta,Mallomo0s spp.
K043,Chrysophyta,Ochromo0s spp.
K044,Chrysophyta,Pseudokephyrion spp.
K045,Chrysophyta,Synura spp.
K046,Xanthophyta,Nephrochloris spp.
K047,Xanthophyta,Goniochloris-Tetraplektron-Tetraedriella complex
K049,Xanthophyta,Pseudostaurastrum-Isthmochloron complex
K053,Bacillariophyta,Acanthoceras zachariasii
K054,Bacillariophyta,Actinocyclus normanii
K055,Bacillariophyta,Aulacoseira pusilla-distans complex
K057,Bacillariophyta,Aulacoseira ambigua
K056,Bacillariophyta,Aulacoseira granulata
K058,Bacillariophyta,Aulacoseira spp.
K059,Bacillariophyta,Thalassiosiraceae spp.
K060,Bacillariophyta,Melosira varians complex
K061,Bacillariophyta,Urosolenia longiseta
K062,Bacillariophyta,Cyclotella atomus-Skeletonema potamos complex
K063,Bacillariophyta,Thalassiosira spp.
K064,Bacillariophyta,Ach0nthidium minutissimum complex
K208,Bacillariophyta,Craticula spp.
K065,Bacillariophyta,Amphora spp.
K066,Bacillariophyta,Asterionella formosa complex
K067,Bacillariophyta,Cocconeis spp.
K068,Bacillariophyta,Cymbella spp.
K069,Bacillariophyta,Diatoma spp.
K070,Bacillariophyta,Diploneis spp.
K071,Bacillariophyta,Eunotia spp.
K072,Bacillariophyta,Staurosirella berolinensis
K073,Bacillariophyta,Fragilaria capuci0
K074,Bacillariophyta,Fragilaria construens
K075,Bacillariophyta,Fragilaria crotonensis
K200,Bacillariophyta,Fragilaria rumpens
K076,Bacillariophyta,Fragilaria saxoplanctonica°˚Ul0ria cf.tenera
K077,Bacillariophyta,Fragilaria vaucheriae
K078,Bacillariophyta,Surirella spp.£®ΩÒ§ﬁ§«§ŒSurirella§»§œ«¯Ñe§π§Î§≥§»£©
K214,Bacillariophyta,Gyrosigma spp.
K079,Bacillariophyta,0vicula spp.
K080,Bacillariophyta,Nitzschia acicularis
K081,Bacillariophyta,Nitzschia fruticosa
K082,Bacillariophyta,Nitzschia levidensis-sali0rum
K083,Bacillariophyta,Nitzschia palea-paleacea
K084,Bacillariophyta,Nitzschia reversa
K085,Bacillariophyta,Nitzschia subacicularis
K211,Bacillariophyta,Nitzschia tabellaria
K086,Bacillariophyta,Nitzschia spp.
K087,Bacillariophyta,Pinnularia spp.
K088,Bacillariophyta,Rhopalodia gibba
K089,Bacillariophyta,Surirella spp.
K090_3,Bacillariophyta,Ul0ria delicatissima
K090_1,Bacillariophyta,Ul0ria japonicaœº•ˆ∆÷
K090_2,Bacillariophyta,Ul0ria japonicaŒ¢…˙ŒÔóù£®Ã´?∂Ã£©
K091,Cryptophyta,unidentified cryptophytes
K092,Dinophyta,Ceratium hirundinella
K093,Dinophyta,Gymnodinium spp.
K094,Dinophyta,Glenodinium spp.
K095,Dinophyta,Peridinium spp.
K096,Euglenophyta,Astasia spp.
K097,Euglenophyta,Eugle0 spp.
K098,Euglenophyta,Lepocinclis spp.
K099,Euglenophyta,Phacus spp.
K100,Euglenophyta,Strombomo0s spp.
K101,Euglenophyta,Trachelomo0s spp.
K102,Chrysophyta,Chrysochromuli0 parva
K103,Chlorophyta,Nephroselmis olivacea
K104,Chlorophyta,Pyramimo0s-Hafnimo0s comolex
K105,Chlorophyta,Tetraselmis cordiformis
K106,Chlorophyta,Gonyostomum spp.
K226,Chlorophyta,Gonyostomum spp.
K138,Chlorophyta,Acanthosphaera spp.
K130,Chlorophyta,Acti0strum spp.
K118,Chlorophyta,Ankistrodesmus spp.
K110,Chlorophyta,Ankyra spp.
K132,Chlorophyta,Arthrodesmus spp.
K113,Chlorophyta,Carteria spp.
K114,Chlorophyta,Chlamydomo0s spp.
K119,Chlorophyta,Chlorella spp.
K115,Chlorophyta,Chlorogonium spp.
K120,Chlorophyta,Chlorolobion spp.
K174,Chlorophyta,Chloromo0s rapida
K121,Chlorophyta,Closteriopsis spp.
K133,Chlorophyta,Closterium spp.
K131,Chlorophyta,Coelastrum spp.
K149,Chlorophyta,Coenochloris spp.ÕË
K150,Chlorophyta,Coenocystis spp.ó¯É“
K153,Chlorophyta,Coro0strum spp.
K134,Chlorophyta,Cosmarium spp.
K154,Chlorophyta,Crucigenia spp.
K155,Chlorophyta,Crucigeniella spp.
K167,Chlorophyta,Desmatractum spp.
K107,Chlorophyta,Dichotomococcus spp.
K108,Chlorophyta,Dictyosphaerium spp.
K156,Chlorophyta,Didymocystis spp.
K157,Chlorophyta,Didymogenes palati0-K00157 Diplochloris lu0ta£ø
K158,Chlorophyta,Dimorphococcus spp.
K122,Chlorophyta,Diplochloris decussata -K00175 Gloeoactinium limneticum£ø
K123,Chlorophyta,Elakatothrix spp.
K135,Chlorophyta,Euastrum spp.
K171,Chlorophyta,Eudori0 spp.
K151,Chlorophyta,Eutetramorus spp.
K143,Chlorophyta,Franceia spp.
K152,Chlorophyta,Gloeocystis spp.
K139,Chlorophyta,Golenkinia spp.
K141,Chlorophyta,Golenkiniopsis spp.
K172,Chlorophyta,Gonium spp.
K116,Chlorophyta,Haematococcus spp.
K124,Chlorophyta,Keratococcus spp.
K125,Chlorophyta,Kirchneriella spp.
K202,Chlorophyta,Koliella spp.
K159,Chlorophyta,Komarekia spp.
K111,Chlorophyta,Korshikoviella spp.
K144,Chlorophyta,Lagerheimia spp.
K142,Chlorophyta,Micractinium spp.
K126,Chlorophyta,Monoraphidium spp.
K173,Chlorophyta,Mougeotia spp.
K145,Chlorophyta,Nephrocytium spp.
K146,Chlorophyta,Oocystis spp.
K168,Chlorophyta,Pachycladon spp.
K177,Chlorophyta,Pandori0 morum
K140,Chlorophyta,Pediastrum spp.
K148,Chlorophyta,Polyblepharides singularis
K169,Chlorophyta,Polyedriopsis spinulosa
K117,Chlorophyta,Pseudocarteria spp.
K160,Chlorophyta,Pseudotetradesmus quater0rius
K147,Chlorophyta,Pteromo0s spp.
K109,Chlorophyta,Quadricoccus spp.
K127,Chlorophyta,Quadrigula spp.
K217,Chlorophyta,Raphidocelis spp.
K128,Chlorophyta,Raphidocelis spp.
K161,Chlorophyta,Scenedesmus spp.
K112,Chlorophyta,Schroederia spp.
K212,Chlorophyta,Sphaerocystis spp.
K136,Chlorophyta,Spondylosium spp.
K137,Chlorophyta,Staurastrum spp.
K176,Chlorophyta,Suxenella mitrae
K162,Chlorophyta,Tetrachlorella spp.
K163,Chlorophyta,Tetradesmus spp.
K129,Chlorophyta,Tetraedron spp.
K166,Chlorophyta,Tetraspora spp.
K164,Chlorophyta,Tetrastrum spp.
K170,Chlorophyta,Traubaria spp.
K205,Chlorophyta,Vitreochlamys spp.
K165,Chlorophyta,Westella botryoides
