"","FJ2015024","FJ2015031","FJ2015041","FJ2015042","FJ2015043","FJ2015044","FJ2015051","FJ2015071","FJ2015072","FJ2015073","FJ2016023","FJ2016039","FJ2016040","FJ2016047","FJ2016065","FJ2016080","FJ2017071","FJ2017072","FJ2017073","FJ2017074","FJ2017075","FJ2017090","FJ2017091","FJ2017092","FJ2017093","FJ2017094","FJ2017096","FJ2017097","FJ2017098","FJ2018001","FJ2018002","FJ2018017","FJ2018019","FJ2018021","FJ2018022","FJ2018023","FJ2018024","FJ2018036","FJ2018040","FJ2018041","FJ2018042","FJ2018043","FJ2018045","FJ2018046","FJ2018047","FJ2018062","FJ2018063","FJ2018065","FJ2018066","FJ2018067","FJ2018068","FJ2018070","FJ2018071","FJ2018073","FJ2018088","FJ2018089","FJ2018090","FJ2018095","FJ2019010","FJ2019018","FJ2019019","FJ2019020","FJ2019023","FJ2019024","FJ2019039","FJ2019040","FJ2019041","FJ2019042","FJ2019044","FJ2019062","FJ2019065","FJ2019066","FJ2019070","FJ2019082","FJ2020009","FJ2020016"
"Achnanthes_sp.",14676.6792,138947.1875,210189.2,40421,25263.125,22456.11111,15601.09649,72550.51282,35665.58824,31438.55556,26731.92778,138022.9268,53386.22642,53704.54372,90494.77612,4491.222222,42230.89552,16168.4,138947.1875,39117.09677,4812.02381,8165.858586,7555.327103,16842.08333,36491.18056,21274.21053,8509.684211,17908.03797,33684.16667,45130.24272,25263.125,13938.27586,14698.54545,11716.23188,41339.65909,46953.68687,538946.6667,951849.3548,437894.1667,228466.5217,181197.5862,279097.381,85371.93966,670137.6316,1616840,237770.5882,261987.963,574736.0938,220818.4259,1639296.111,885412.381,734927.2727,956630.3333,505262.5,144360.7143,34979.71154,39587.57732,42442.05,41395,24917.05479,14970.74074,19248.09524,71331.17647,134736.6667,142222.037,633874.7727,968710.1724,303157.5,3678311,277894.375,138282.3684,209323.0357,265927.6316,151578.75,26361.52174,52723.04348
"Amphora_ovalis",0,0,0,8084.2,0,0,0,5182.179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3674.636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4812.02381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cocconeis_placentula",72180.35714,37894.6875,16168.4,16168.4,5052.625,22456.11111,10637.10526,31093.07692,59442.64706,94315.66667,2350.05814,19717.56098,32413.06604,22818.30645,39214.40299,8982.444444,153841.1194,408252.1,1092630.156,1356059.355,235789.1667,38787.82828,9444.158879,5614.027778,8421.041667,31911.31579,19146.78947,28141.20253,21654.10714,13735.29126,18045.08929,10453.7069,7349.272727,5858.115942,18373.18182,12248.78788,31702.7451,26078.06452,26947.33333,17574.34783,34845.68966,19248.09524,5226.853448,0,75789.375,0,74853.7037,37894.6875,7485.37037,22456.11111,28872.14286,45932.95455,26947.33333,7773.269231,0,27206.44231,18752.01031,22231.55,2435,8305.684932,3742.685185,0,23777.05882,16842.08333,52397.59259,27559.77273,62722.24138,12631.5625,60631.5,12631.5625,127645.2632,93834.46429,148919.4737,168420.8333,21967.93478,21967.93478
"Coscinodiscus_sp.",0,0,0,0,0,0,0,0,0,0,0,4929.390244,0,0,0,0,0,0,0,0,0,0,0,0,2807.013889,0,2127.421053,0,2406.011905,0,0,0,0,0,0,0,0,0,6736.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4042.1,17045,8305.684932,0,9624.047619,0,16842.08333,0,18373.18182,20907.41379,0,0,0,0,0,0,0,4393.586957,0
"Cyclotella_sp.",49082.66917,94736.71875,64673.6,72757.8,25263.125,78596.38889,38204.95614,57003.97436,47554.11765,89824.44444,198345.0122,19717.56098,32413.06604,95185.02759,30164.92537,17964.88889,3016.492537,76799.9,50526.25,26078.06452,33684.16667,120446.4141,58553.78505,71578.85417,188069.9306,74459.73684,95733.94737,171405.5063,62556.30952,92222.6699,216541.0714,118475.3448,205779.6364,240182.7536,243444.6591,224561.1111,31702.7451,97792.74194,101052.5,175743.4783,146351.8966,57744.28571,27876.55172,63822.63158,75789.375,23777.05882,67368.33333,69473.59375,127251.2963,336841.6667,57744.28571,91865.90909,87578.83333,194331.7308,567818.8095,369230.2885,106261.3918,232420.75,255675,318384.589,258245.2778,1217442.024,166439.4118,33684.16667,134736.6667,137798.8636,404210,315789.0625,121263,113684.0625,1436009.211,1450825.179,191467.8947,319999.5833,360274.1304,505262.5
"Cymbella_sp.",4812.02381,12631.5625,24252.6,8084.2,0,0,0,0,11888.52941,0,0,0,0,0,0,0,0,0,0,0,2406.011905,0,0,0,2807.013889,0,0,0,0,0,3609.017857,0,0,0,0,2041.464646,3962.843137,6519.516129,0,8787.173913,0,0,0,0,0,0,0,6315.78125,0,0,0,0,0,7773.269231,0,0,0,0,7305,0,3742.685185,0,23777.05882,0,0,18373.18182,0,12631.5625,0,0,0,0,0,0,0,8787.173913
"Fragilaria_capucina",48120.2381,18947.34375,40421,0,0,0,0,0,0,13473.66667,2350.05814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7925.686275,0,0,0,0,0,0,0,0,0,0,0,0,22456.11111,0,0,0,0,0,0,0,2021.05,0,0,0,0,0,0,0,0,0,0,20210.5,50526.25,0,0,0,0,0,0
"Fragilaria_sp.",0,0,8084.2,72757.8,25263.125,325613.6111,3545.701754,0,0,0,2526.315789,9858.780488,1906.650943,1629.879032,0,0,0,0,6315.78125,0,0,0,0,0,2807.013889,0,0,2558.291139,0,0,0,6969.137931,0,0,18373.18182,10207.32323,0,0,0,0,0,19248.09524,3484.568966,10637.10526,0,23777.05882,0,6315.78125,0,0,0,9186.590909,6736.833333,0,0,0,2083.556701,2021.05,0,2768.561644,3742.685185,4812.02381,0,0,0,0,13938.27586,12631.5625,0,0,0,0,0,0,0,0
"Frustulia_sp.",0,0,8084.2,8084.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10637.10526,0,2558.291139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768.561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4393.586957
"Gomphonema_sp.",9864.655388,0,16168.4,8084.2,0,0,0,0,0,0,0,0,0,0,0,13473.66667,0,0,0,0,2406.011905,2041.464646,0,2807.013889,0,0,2127.421053,2558.291139,2406.011905,1962.184466,7218.035714,6969.137931,0,0,0,0,0,0,0,0,0,9624.047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.05,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13180.76087
"Melosira_granulata",198255.5388,202105,105094.6,48505.2,50526.25,44912.22222,306260.2632,62186.15385,11888.52941,22456.11111,50937.53978,14788.17073,7626.603774,28033.93251,27148.43284,24701.72222,81445.29851,149557.7,119999.8438,208624.5161,197292.9762,500158.8384,118996.4019,72982.36111,266666.3194,10637.10526,178703.3684,240479.3671,211729.0476,145201.6505,180450.8929,114990.7759,139636.1818,114233.2609,59712.84091,130653.7374,67368.33333,84753.70968,67368.33333,123020.4348,97567.93103,153984.7619,1742.284483,31911.31579,50526.25,23777.05882,52397.59259,50526.25,18713.42593,202105,9624.047619,128612.2727,114526.1667,956112.1154,2107666.429,524695.6731,43754.69072,181894.5,289765,274087.6027,280701.3889,298345.4762,356655.8824,336841.6667,89824.44444,55119.54545,90598.7931,25263.125,20210.5,12631.5625,106371.0526,86616.42857,10637.10526,33684.16667,83478.15217,114233.2609
"Navicula_sp.",28872.14286,37894.6875,48505.2,24252.6,0,0,0,0,0,0,2350.05814,4929.390244,0,0,3016.492537,6736.833333,0,0,0,0,0,14290.25253,0,0,0,0,0,0,38496.19048,1962.184466,3609.017857,0,11023.90909,0,0,24497.57576,11888.52941,6519.516129,6736.833333,8787.173913,20907.41379,9624.047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083.556701,2021.05,9740,2768.561644,0,4812.02381,0,0,7485.37037,0,0,0,0,37894.6875,0,0,0,0,26361.52174,13180.76087
"Nitzschia_sp.",58706.71679,50526.25,8084.2,8084.2,10105.25,0,5318.552632,0,0,0,2526.315789,0,1906.650943,0,3016.492537,0,0,0,0,0,0,2041.464646,3777.663551,2807.013889,2807.013889,0,4254.842105,12791.4557,2406.011905,9810.92233,0,6969.137931,3674.636364,2929.057971,55119.54545,12248.78788,75294.01961,32597.58065,20210.5,26361.52174,13938.27586,19248.09524,3484.568966,0,0,0,0,0,0,0,0,18373.18182,0,0,9624.047619,0,0,2021.05,4870,2768.561644,0,9624.047619,11888.52941,16842.08333,0,0,20907.41379,37894.6875,0,0,0,0,0,0,0,0
"Pinnularia_nobilis",4812.02381,6315.78125,0,32336.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962.184466,0,0,11023.90909,0,4593.295455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.05,2435,2768.561644,0,0,0,0,0,0,0,0,0,0,0,0,0,16842.08333,0,0
"Stauroneis_acuta",0,6315.78125,24252.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041.464646,1888.831776,0,0,0,0,2558.291139,0,0,0,0,0,2929.057971,0,0,0,0,0,0,6969.137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083.556701,0,0,0,0,0,23777.05882,0,0,0,0,12631.5625,0,0,0,0,0,0,0,0
"Surirella_sp.",0,0,0,0,0,0,1772.850877,0,0,0,0,0,0,0,0,0,0,0,0,6519.516129,0,0,3777.663551,1403.506944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15546.53846,0,0,0,2021.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synedra_acus",167939.7494,25263.125,113178.8,40421,95999.875,67368.33333,6914.122807,0,23777.05882,0,36308.41799,379563.0488,1906.650943,0,3016.492537,0,0,0,0,0,0,0,1888.831776,0,2807.013889,10637.10526,0,0,4812.02381,5886.553398,7218.035714,0,29397.09091,111304.2029,59712.84091,6124.393939,19814.21569,52156.12903,0,17574.34783,41814.82759,67368.33333,0,0,0,0,22456.11111,0,3742.685185,67368.33333,0,9186.590909,0,15546.53846,19248.09524,0,0,0,0,0,0,4812.02381,35665.58824,67368.33333,321870.9259,146985.4545,0,0,181894.5,0,0,0,0,0,4393.586957,0
"Synedra_sp.",0,0,0,0,0,370525.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403.506944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25263.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tabellaria_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5116.582278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373.18182,0,0,0,0,0,0,0,0,4393.586957,0
"Ankistrodesmus_acicularis",0,290525.9375,218273.4,56589.4,10105.25,101052.5,14182.80702,15546.53846,59442.64706,80842,108043.9657,9858.780488,0,32760.57513,24131.9403,26947.33333,3016.492537,24252.6,50526.25,110831.7742,21654.10714,24497.57576,9444.158879,12631.5625,39298.19444,53185.52632,6382.263158,10233.16456,19248.09524,37281.50485,202105,62722.24138,110239.0909,128878.5507,68899.43182,48995.15152,55479.80392,58675.64516,20210.5,369061.3043,299672.931,250225.2381,24391.98276,42548.42105,884209.375,35665.58824,134736.6667,44210.46875,71111.01852,696139.4444,211729.0476,174545.2273,53894.66667,0,0,7773.269231,0,18189.45,9740,11074.24658,26198.7963,33684.16667,23777.05882,50526.25,7485.37037,27559.77273,13938.27586,0,80842,0,319113.1579,86616.42857,159556.5789,353683.75,333912.6087,162562.7174
"Ankistrodesmus_convolutus",0,0,0,80842,40421,0,7091.403509,0,0,0,86952.15116,24646.95122,0,0,0,0,3016.492537,4042.1,25263.125,19558.54839,0,0,0,0,0,0,0,0,0,19621.84466,36090.17857,111506.2069,0,2929.057971,151578.75,59202.47475,35665.58824,19558.54839,6736.833333,35148.69565,0,0,0,0,0,0,0,0,7485.37037,0,0,0,0,0,19248.09524,0,4167.113402,10105.25,9740,22148.49315,11228.05556,9624.047619,249659.1176,117894.5833,67368.33333,9186.590909,0,12631.5625,0,0,0,0,0,0,0,13180.76087
"Ankistrodesmus_falcatus",19248.09524,0,16168.4,0,0,0,1772.850877,10364.35897,0,0,0,0,0,4889.637097,0,0,0,0,12631.5625,13039.03226,0,0,0,0,0,74459.73684,6382.263158,0,0,0,0,0,0,0,13779.88636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7485.37037,0,0,0,14970.74074,18373.18182,0,0,0,50526.25,21274.21053,0,21274.21053,0,0,17574.34783
"Ankistrodesmus_falcatus_var._mirabilis",0,0,0,0,0,0,131368.4211,0,0,0,141473.6842,0,0,30315.78947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botryococcus_braunii",0,0,0,0,0,0,0,10364.35897,0,4491.222222,0,9858.780488,9533.254717,1629.879032,15082.46269,2245.611111,12065.97015,28294.7,0,19558.54839,16842.08333,12248.78788,20777.14953,29473.64583,42105.20833,0,14891.94737,12791.4557,7218.035714,19621.84466,3609.017857,13938.27586,14698.54545,14645.28986,4593.295455,10207.32323,11888.52941,6519.516129,0,0,0,0,0,0,0,0,7485.37037,0,0,44912.22222,0,0,0,7773.269231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydomonas_sp.",0,0,0,8084.2,0,22456.11111,3545.701754,15546.53846,0,0,0,9858.780488,9533.254717,0,3016.492537,0,36197.91045,48505.2,0,0,0,0,5666.495327,2807.013889,14035.06944,0,0,0,7218.035714,0,0,0,0,2929.057971,0,4082.929293,15851.37255,19558.54839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlorella_sp.",753563.2707,498946.7188,573978.2,1794692.4,1227787.875,1324910.556,542315.2193,295384.2308,106996.7647,754525.3333,752430.2234,985878.0488,514795.7547,447076.0357,639496.4179,559157.1667,346896.6418,537599.3,795788.4375,593275.9677,430676.131,102073.2323,445764.2991,277894.375,519297.5694,776508.6842,472287.4737,539799.4304,526916.6071,368890.6796,685713.3929,700398.3621,621013.5455,462791.1594,601721.7045,177607.4242,439875.5882,932290.8065,1057682.833,1555329.783,1170815.172,1597591.905,189909.0086,436121.3158,1061051.25,725200.2941,1235086.111,745262.1875,565145.463,2200698.889,760299.7619,900285.9091,478315.1667,287610.9615,779547.8571,509149.1346,335452.6289,323368,360380,578629.3836,1107834.815,659247.2619,3007797.941,2795785.833,965612.7778,2085356.136,1087185.517,3359995.625,2748628,2058944.688,957339.4737,664059.2857,1478557.632,1296840.417,527230.4348,562379.1304
"Chodatella_cilliata",0,0,0,0,0,0,0,0,0,0,0,0,0,4156.194822,0,0,0,0,18947.34375,0,2406.011905,12248.78788,0,0,5614.027778,10637.10526,4254.842105,0,0,0,3609.017857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7773.269231,48120.2381,0,4167.113402,0,0,0,0,0,0,0,0,0,0,0,0,37894.6875,10637.10526,7218.035714,0,0,0,0
"Closteriopsis_sp.",5052.631579,0,0,0,5052.625,0,20299.16667,25910.89744,0,8982.444444,26555.67013,0,0,2526.315789,9049.477612,22456.11111,0,4042.1,18947.34375,13039.03226,16842.08333,6124.393939,9444.158879,1403.506944,30877.15278,1914678.947,6382.263158,17908.03797,28872.14286,17659.66019,21654.10714,10453.7069,33071.72727,8787.173913,4593.295455,28580.50505,0,0,6736.833333,0,0,19248.09524,3484.568966,0,0,23777.05882,0,0,22456.11111,0,0,18373.18182,0,31093.07692,28872.14286,3886.634615,4167.113402,6063.15,7305,19379.93151,11228.05556,33684.16667,11888.52941,0,0,0,0,0,0,0,10637.10526,7218.035714,10637.10526,67368.33333,26361.52174,43935.86957
