"","Achnanthes_sp.","Amphora_ovalis","Cocconeis_placentula","Coscinodiscus_sp.","Cyclotella_sp.","Cymbella_sp.","Fragilaria_capucina","Fragilaria_sp.","Frustulia_sp.","Gomphonema_sp.","Melosira_granulata","Navicula_sp.","Nitzschia_sp.","Pinnularia_nobilis","Stauroneis_acuta","Surirella_sp.","Synedra_acus","Synedra_sp.","Tabellaria_sp.","Ankistrodesmus_acicularis","Ankistrodesmus_convolutus","Ankistrodesmus_falcatus","Ankistrodesmus_falcatus_var._mirabilis","Botryococcus_braunii","Chlamydomonas_sp.","Chlorella_sp.","Chodatella_cilliata","Closteriopsis_sp.","Coelastrum_microporum","Coelastrum_reticulatum","Coelastrum_sphaericum","Cosmarium_angulosum","Cosmarium_bioculatum","Cosmarium_circulare","Cosmarium_connatum","Cosmarium_depressum","Cosmarium_globosum","Cosmarium_quadrum","Cosmarium_sp.","Cosmarium_trilobulatum","Cosmarium_turgidum","Crucigenia_lauterbornei","Crucigenia_quadrata","Crucigenia_rectangularis","Crucigenia_tetrapedia","Dictyosphaeria_cavernosa","Elakatothrix_gelatinosa","Euastrum_elegans","Eudorina_elegans","Gloeocystis_sp.","Golenkinia_paucispina","Gonatozygon_kinahani","Kirchneriella_contorta","Kirchneriella_lunaris_","Mougeotia_sp.","Nephrocytium_agardhianum","Oedogonium_sp.","Oocystis_lacustris","Pediastrum_duplex","Pediastrum_tetras_var._tetraodon","Pleodorina_californica","Pteromonas_sp.","Radiococcus_sp.","Raphidonema_nivale","Scenedesmus_acuminatus","Scenedesmus_arcuatus","Scenedesmus_armatus","Scenedesmus_bicaudatus","Scenedesmus_bijuga","Scenedesmus_denticulatus","Scenedesmus_dimorphus","Scenedesmus_perforatas","Scenedesmus_quadricauda","Schroederia_robusta","Selenastrum_bibraianum","Sphaerocystis_schroeteri","Staurastrum_bifidum","Staurastrum_connatum","Staurastrum_crenulatum","Staurastrum_gracile","Staurodesmus_sp.","Tetraedron_bifurcatum","Tetraedron_caudatum","Tetraedron_hastatum_var._palatinum","Tetraedron_minimum","Tetraedron_trigonum","Tetraedron_trilobulatum","Tetraedron_tumidulum","Treubaria_triappendiculata","Westella_linearis","Mallomonas_acaroides","Mallomonas_oviformis","Synura_sp.","Chroomonas_caudata","Cryptomonas_erosa","Cryptomonas_marssonii","Cryptomonas_ovata","Glenodinium_pulvisculus","Peridinium_sp.","Euglena_interrupta","Euglena_oxyuris","Euglena_pisciformis","Lepocinclis_texta","Phacus_acuminatus","Phacus_longicauda","Phacus_pleuronectes","Strombomonas_ensifera","Trachelomonas_oblonga","Trachelomonas_reticulata"
"FJ2015024",14676.6792,0,72180.35714,0,49082.66917,4812.02381,48120.2381,0,0,9864.655388,198255.5388,28872.14286,58706.71679,4812.02381,0,0,167939.7494,0,0,0,0,19248.09524,0,0,0,753563.2707,0,5052.631579,14436.07143,0,0,0,14436.07143,0,0,0,0,0,0,0,0,0,4812.02381,0,9624.047619,0,29112.75063,35368.42105,4812.02381,0,0,0,96000,0,0,0,0,0,0,0,0,0,0,20210.52632,45233.07644,0,202105.2632,309894.6491,0,4812.02381,4812.02381,110917.287,24781.94236,0,0,0,0,0,0,0,0,0,0,0,4812.02381,0,0,0,4812.02381,0,0,30315.78947,0,2029713.59,57744.28571,57744.28571,160481.1717,125112.619,0,0,0,0,9624.047619,0,0,10105.26316,0,4812.02381,0
"FJ2015031",138947.1875,0,37894.6875,0,94736.71875,12631.5625,18947.34375,0,0,0,202105,37894.6875,50526.25,6315.78125,6315.78125,0,25263.125,0,0,290525.9375,0,0,0,0,0,498946.7188,0,0,0,0,0,0,25263.125,0,0,0,0,0,0,0,0,0,6315.78125,0,6315.78125,0,82105.15625,6315.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6315.78125,0,12631.5625,0,12631.5625,189473.4375,0,6315.78125,0,6315.78125,6315.78125,0,0,0,0,0,0,0,0,0,0,0,6315.78125,12631.5625,0,0,18947.34375,0,0,0,0,719999.0625,0,0,0,6315.78125,0,0,0,0,0,0,0,0,0,18947.34375,0
"FJ2015041",210189.2,0,16168.4,0,64673.6,24252.6,40421,8084.2,8084.2,16168.4,105094.6,48505.2,8084.2,0,24252.6,0,113178.8,0,0,218273.4,0,16168.4,0,0,0,573978.2,0,0,0,0,0,0,16168.4,0,0,0,0,0,0,0,0,0,16168.4,0,0,0,8084.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8084.2,0,0,0,0,0,420378.4,0,0,32336.8,16168.4,0,0,0,0,16168.4,0,0,0,0,16168.4,0
"FJ2015042",40421,8084.2,16168.4,0,72757.8,8084.2,0,72757.8,8084.2,8084.2,48505.2,24252.6,8084.2,32336.8,0,0,40421,0,0,56589.4,80842,0,0,0,8084.2,1794692.4,0,0,16168.4,0,0,0,72757.8,0,0,0,0,0,0,0,0,0,0,64673.6,0,0,16168.4,0,0,0,0,0,0,0,0,0,0,8084.2,0,0,0,0,0,0,0,16168.4,0,48505.2,0,8084.2,0,121263,16168.4,16168.4,8084.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420378.4,0,0,0,16168.4,0,0,0,0,0,0,0,0,8084.2,8084.2,0
"FJ2015043",25263.125,0,5052.625,0,25263.125,0,0,25263.125,0,0,50526.25,0,10105.25,0,0,0,95999.875,0,0,10105.25,40421,0,0,0,0,1227787.875,0,5052.625,0,0,0,0,5052.625,0,0,0,0,0,0,0,0,0,0,40421,0,0,0,0,0,0,0,0,0,0,0,0,0,30315.75,5052.625,0,0,0,25263.125,0,0,5052.625,0,70736.75,0,10105.25,0,15157.875,25263.125,0,40421,0,0,0,0,0,0,15157.875,5052.625,0,0,0,0,0,20210.5,0,0,0,0,85894.625,0,0,0,20210.5,0,0,0,0,25263.125,0,0,0,0,0,0
"FJ2015044",22456.11111,0,22456.11111,0,78596.38889,0,0,325613.6111,0,0,44912.22222,0,0,0,0,0,67368.33333,370525.8333,0,101052.5,0,0,0,0,22456.11111,1324910.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44912.22222,0,0,0,0,0,0,0,11228.05556,0,0,0,0,0,11228.05556,11228.05556,0,0,0,11228.05556,11228.05556,0,11228.05556,0,235789.1667,0,0,0,0,22456.11111,381753.8889,11228.05556,0,0,0,0,0,0,44912.22222,0,11228.05556,33684.16667,11228.05556,0,0,0,0,0,0,0,550174.7222,0,0,0,11228.05556,0,0,0,0,0,0,0,0,0,0,0
"FJ2015051",15601.09649,0,10637.10526,0,38204.95614,0,0,3545.701754,0,0,306260.2632,0,5318.552632,0,0,1772.850877,6914.122807,0,0,14182.80702,7091.403509,1772.850877,131368.4211,0,3545.701754,542315.2193,0,20299.16667,55667.58772,0,0,0,0,0,0,0,0,0,0,3545.701754,0,0,28720.2193,43966.71053,0,0,6736.842105,1684.210526,3545.701754,0,0,0,80842.10526,0,0,33684.21053,1772.850877,6736.842105,0,0,0,0,0,0,10282.54386,0,0,14182.80702,0,0,0,25263.15789,7091.403509,90415.39474,36077.54386,6736.842105,0,0,1684.210526,0,1772.850877,3457.061404,0,0,3545.701754,6825.482456,0,1772.850877,0,0,0,5052.631579,0,22072.01754,0,0,5052.631579,1772.850877,0,0,0,0,0,0,0,1772.850877,0,0,0
"FJ2015071",72550.51282,5182.179487,31093.07692,0,57003.97436,0,0,0,0,0,62186.15385,0,0,0,0,0,0,0,0,15546.53846,0,10364.35897,0,10364.35897,15546.53846,295384.2308,0,25910.89744,15546.53846,51821.79487,0,0,5182.179487,0,0,0,0,5182.179487,0,0,0,0,108825.7692,0,0,0,0,10364.35897,0,0,0,0,0,0,0,0,0,36275.25641,0,0,0,1476921.154,10364.35897,0,5182.179487,0,0,5182.179487,0,0,0,0,0,0,5182.179487,0,0,0,20728.71795,15546.53846,0,0,0,0,5182.179487,20728.71795,15546.53846,0,5182.179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJ2015072",35665.58824,0,59442.64706,0,47554.11765,11888.52941,0,0,0,0,11888.52941,0,0,0,0,0,23777.05882,0,0,59442.64706,0,0,0,0,0,106996.7647,0,0,0,0,142662.3529,0,11888.52941,71331.17647,0,0,0,11888.52941,0,0,0,0,0,154550.8824,0,0,0,0,0,0,0,11888.52941,0,0,0,0,0,11888.52941,0,0,0,2187489.412,0,0,0,0,0,249659.1176,0,0,0,0,0,0,0,0,0,0,83219.70588,0,0,0,0,11888.52941,23777.05882,23777.05882,0,0,35665.58824,0,0,0,0,71331.17647,0,0,0,0,0,0,0,0,11888.52941,0,0,0,0,0,71331.17647
"FJ2015073",31438.55556,0,94315.66667,0,89824.44444,0,13473.66667,0,0,0,22456.11111,0,0,0,0,0,0,0,0,80842,0,0,0,4491.222222,0,754525.3333,0,8982.444444,0,44912.22222,0,0,98806.88889,0,98806.88889,0,0,0,0,0,0,0,0,35929.77778,0,0,0,0,0,0,0,8982.444444,0,8982.444444,0,0,0,0,0,0,0,269473.3333,22456.11111,0,0,0,0,94315.66667,0,0,0,0,0,0,8982.444444,17964.88889,0,0,139227.8889,0,0,0,0,4491.222222,4491.222222,40421,0,0,0,0,0,0,0,143719.1111,0,0,0,0,0,0,0,0,0,0,0,0,4491.222222,0,4491.222222
"FJ2016023",26731.92778,0,2350.05814,0,198345.0122,0,2350.05814,2526.315789,0,0,50937.53978,2350.05814,2526.315789,0,0,0,36308.41799,0,0,108043.9657,86952.15116,0,141473.6842,0,0,752430.2234,0,26555.67013,0,0,0,30550.75581,0,0,0,0,0,0,0,0,0,0,0,4876.373929,4876.373929,0,12631.57895,14805.37944,0,0,0,0,65684.21053,21150.52326,14100.34884,0,0,4700.116279,0,2526.315789,0,0,0,0,0,0,0,35955.90269,0,0,2350.05814,5052.631579,2350.05814,11750.2907,0,0,0,0,12102.806,0,0,0,0,0,5052.631579,17507.95288,2350.05814,0,2526.315789,0,0,22736.84211,0,161214.1463,0,0,47823.74235,0,0,0,0,0,0,4700.116279,0,0,0,0,2350.05814
"FJ2016039",138022.9268,0,19717.56098,4929.390244,19717.56098,0,0,9858.780488,0,0,14788.17073,4929.390244,0,0,0,0,379563.0488,0,0,9858.780488,24646.95122,0,0,9858.780488,9858.780488,985878.0488,0,0,9858.780488,0,4929.390244,0,4929.390244,9858.780488,0,0,4929.390244,0,0,0,4929.390244,0,0,0,0,0,0,9858.780488,0,0,0,0,9858.780488,0,0,0,9858.780488,4929.390244,0,0,0,0,0,0,4929.390244,0,0,19717.56098,0,0,0,24646.95122,0,24646.95122,108446.5854,4929.390244,0,0,0,0,0,0,9858.780488,0,4929.390244,54223.29268,4929.390244,0,24646.95122,0,0,0,0,256328.2927,0,0,9858.780488,4929.390244,0,0,0,0,0,0,0,0,4929.390244,0,0
"FJ2016040",53386.22642,0,32413.06604,0,32413.06604,0,0,1906.650943,0,0,7626.603774,0,1906.650943,0,0,0,1906.650943,0,0,0,0,0,0,9533.254717,9533.254717,514795.7547,0,0,0,5719.95283,3813.301887,0,0,0,0,0,0,0,0,0,0,5719.95283,0,0,0,0,0,9533.254717,0,0,0,0,3813.301887,0,0,0,0,3813.301887,0,0,0,0,1906.650943,0,1906.650943,0,0,3813.301887,0,0,0,5719.95283,0,0,41946.32075,0,0,0,0,0,0,0,7626.603774,0,1906.650943,57199.5283,0,0,3813.301887,0,0,0,0,95332.54717,0,0,3813.301887,0,0,0,1906.650943,0,1906.650943,0,0,0,0,0,3813.301887
"FJ2016047",53704.54372,0,22818.30645,0,95185.02759,0,0,1629.879032,0,0,28033.93251,0,0,0,0,0,0,0,0,32760.57513,0,4889.637097,30315.78947,1629.879032,0,447076.0357,4156.194822,2526.315789,2526.315789,3259.758065,0,14668.91129,0,0,11409.15323,0,8149.395161,0,0,6519.516129,0,0,0,6682.510611,0,0,12631.57895,0,0,0,0,0,80842.10526,14668.91129,0,139680.8107,0,20047.53183,0,0,0,0,0,0,22736.84211,0,0,80271.59168,0,0,0,5052.631579,4889.637097,0,0,70736.84211,6519.516129,0,32923.56961,8149.395161,0,0,0,0,4889.637097,35775.87436,0,0,0,0,0,7578.947368,0,437704.4121,0,0,92414.25297,0,0,0,0,0,0,8149.395161,1629.879032,7578.947368,0,5052.631579,30967.70161
"FJ2016065",90494.77612,0,39214.40299,0,30164.92537,0,0,0,0,0,27148.43284,3016.492537,3016.492537,0,0,0,3016.492537,0,0,24131.9403,0,0,0,15082.46269,3016.492537,639496.4179,0,9049.477612,3016.492537,12065.97015,0,114626.7164,0,0,0,0,9049.477612,0,6032.985075,33181.41791,0,6032.985075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36197.91045,0,0,0,0,24131.9403,0,6032.985075,0,0,81445.29851,0,0,0,0,33181.41791,12065.97015,9049.477612,0,0,0,12065.97015,0,9049.477612,0,0,0,9049.477612,9049.477612,0,0,3016.492537,0,0,0,0,3016.492537,0,0,0,0,0,0,0,3016.492537,0,0,0,0,12065.97015,0,21115.44776
"FJ2016080",4491.222222,0,8982.444444,0,17964.88889,0,0,0,0,13473.66667,24701.72222,6736.833333,0,0,0,0,0,0,0,26947.33333,0,0,0,2245.611111,0,559157.1667,0,22456.11111,11228.05556,4491.222222,0,2245.611111,0,0,6736.833333,0,2245.611111,0,2245.611111,2245.611111,0,11228.05556,0,0,0,0,0,2245.611111,0,0,0,0,0,0,0,0,0,2245.611111,0,0,0,0,4491.222222,0,0,0,0,15719.27778,0,0,0,0,56140.27778,11228.05556,11228.05556,0,0,0,0,0,0,0,0,0,0,0,0,6736.833333,0,0,0,0,0,168420.8333,0,0,11228.05556,0,6736.833333,0,0,0,0,0,2245.611111,0,17964.88889,0,6736.833333
"FJ2017071",42230.89552,0,153841.1194,0,3016.492537,0,0,0,0,0,81445.29851,0,0,0,0,0,0,0,0,3016.492537,3016.492537,0,0,12065.97015,36197.91045,346896.6418,0,0,6032.985075,12065.97015,3016.492537,12065.97015,0,0,12065.97015,3016.492537,18098.95522,0,0,54296.86567,0,3016.492537,0,33181.41791,0,0,0,0,0,0,0,3016.492537,0,9049.477612,0,0,0,12065.97015,0,0,0,0,6032.985075,0,3016.492537,0,0,12065.97015,0,0,0,0,114626.7164,0,0,0,0,30164.92537,3016.492537,3016.492537,3016.492537,0,6032.985075,0,3016.492537,30164.92537,0,0,0,3016.492537,0,0,0,45247.38806,0,0,0,0,0,3016.492537,0,0,15082.46269,0,0,0,6032.985075,0,9049.477612
"FJ2017072",16168.4,0,408252.1,0,76799.9,0,0,0,0,0,149557.7,0,0,0,0,0,0,0,0,24252.6,4042.1,0,0,28294.7,48505.2,537599.3,0,4042.1,24252.6,32336.8,28294.7,12126.3,0,0,8084.2,0,24252.6,0,4042.1,32336.8,0,0,0,8084.2,0,0,0,4042.1,0,0,0,4042.1,0,8084.2,0,0,0,12126.3,0,0,0,0,20210.5,0,0,0,0,60631.5,4042.1,0,0,0,101052.5,0,0,0,0,68715.7,0,8084.2,0,0,4042.1,0,0,8084.2,0,0,0,0,0,0,0,28294.7,0,0,8084.2,0,0,0,0,0,0,0,0,0,12126.3,0,24252.6
"FJ2017073",138947.1875,0,1092630.156,0,50526.25,0,0,6315.78125,0,0,119999.8438,0,0,0,0,0,0,0,0,50526.25,25263.125,12631.5625,0,0,0,795788.4375,18947.34375,18947.34375,0,75789.375,0,63157.8125,0,0,18947.34375,0,37894.6875,0,0,63157.8125,0,0,0,75789.375,0,0,0,0,0,0,0,0,0,0,0,0,0,31578.90625,0,0,0,0,12631.5625,0,0,0,0,88420.9375,0,0,0,6315.78125,0,6315.78125,6315.78125,0,0,6315.78125,0,18947.34375,0,0,0,0,12631.5625,18947.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6315.78125,0,0,31578.90625
"FJ2017074",39117.09677,0,1356059.355,0,26078.06452,0,0,0,0,0,208624.5161,0,0,0,0,6519.516129,0,0,0,110831.7742,19558.54839,13039.03226,0,19558.54839,0,593275.9677,0,13039.03226,19558.54839,19558.54839,0,97792.74194,0,0,13039.03226,0,19558.54839,0,0,26078.06452,13039.03226,0,0,0,0,0,0,6519.516129,0,0,6519.516129,0,0,6519.516129,0,0,0,32597.58065,0,0,0,0,13039.03226,0,6519.516129,0,0,123870.8065,0,6519.516129,0,0,110831.7742,0,6519.516129,0,0,32597.58065,0,0,0,0,0,0,0,39117.09677,0,0,0,0,19558.54839,0,0,19558.54839,0,0,0,0,0,0,0,0,0,0,0,13039.03226,0,0,39117.09677
"FJ2017075",4812.02381,0,235789.1667,0,33684.16667,2406.011905,0,0,0,2406.011905,197292.9762,0,0,0,0,0,0,0,0,21654.10714,0,0,0,16842.08333,0,430676.131,2406.011905,16842.08333,2406.011905,9624.047619,0,4812.02381,0,0,0,0,2406.011905,0,0,19248.09524,0,0,0,0,2406.011905,0,0,0,0,0,0,0,0,7218.035714,0,0,0,7218.035714,0,0,0,0,0,0,0,2406.011905,0,9624.047619,0,0,4812.02381,0,40902.20238,0,2406.011905,0,0,4812.02381,0,2406.011905,0,0,0,0,0,4812.02381,0,0,16842.08333,0,0,0,0,2406.011905,0,0,2406.011905,0,0,0,0,0,0,0,0,2406.011905,0,0,7218.035714
